EmployeeId,Attrition,Department,Education,EducationField,Gender,JobLevel,JobRole,MaritalStatus,MonthlyIncome,OverTime,PercentSalaryHike,PerformanceRating,TotalWorkingYears,Status,Edutxt,SalaryCategory
88,0.0,Sales,3,Medical,Female,3,Sales Executive,Single,8865,No,12,3,23,Active,Bachelor,5000-9999
93,0.0,Sales,2,Life Sciences,Male,3,Sales Executive,Married,10239,No,14,3,24,Active,College,10000-14999
95,0.0,Research & Development,1,Life Sciences,Male,2,Manufacturing Director,Married,9547,No,17,3,10,Active,Below College,5000-9999
97,0.0,Research & Development,2,Life Sciences,Male,2,Research Scientist,Married,4900,No,24,4,13,Active,College,Under 5000
99,0.0,Research & Development,4,Medical,Female,1,Research Scientist,Married,2622,No,21,4,7,Active,Master,Under 5000
100,0.0,Research & Development,3,Life Sciences,Male,1,Laboratory Technician,Divorced,2314,No,12,3,4,Active,Bachelor,Under 5000
101,1.0,Research & Development,2,Life Sciences,Female,1,Laboratory Technician,Single,2625,No,20,4,2,Inactive,College,Under 5000
102,1.0,Sales,2,Marketing,Female,1,Sales Representative,Divorced,2351,No,16,3,3,Inactive,College,Under 5000
104,0.0,Sales,3,Life Sciences,Female,2,Sales Executive,Single,9981,No,14,3,7,Active,Bachelor,5000-9999
106,0.0,Research & Development,4,Life Sciences,Male,1,Laboratory Technician,Divorced,2741,No,14,3,7,Active,Master,Under 5000
107,1.0,Research & Development,3,Technical Degree,Female,5,Research Director,Married,19545,No,12,3,23,Inactive,Bachelor,Above 15000
109,0.0,Research & Development,3,Life Sciences,Male,2,Healthcare Representative,Divorced,7725,No,23,4,15,Active,Bachelor,5000-9999
110,1.0,Research & Development,1,Medical,Male,1,Laboratory Technician,Single,1904,No,12,3,0,Inactive,Below College,Under 5000
111,0.0,Research & Development,3,Medical,Female,1,Research Scientist,Single,2279,No,16,3,7,Active,Bachelor,Under 5000
112,0.0,Research & Development,2,Life Sciences,Male,2,Manufacturing Director,Married,4775,No,22,4,4,Active,College,Under 5000
113,1.0,Research & Development,3,Medical,Male,1,Laboratory Technician,Married,2436,Yes,13,3,8,Inactive,Bachelor,Under 5000
114,0.0,Research & Development,4,Technical Degree,Female,2,Healthcare Representative,Married,4523,No,11,3,7,Active,Master,Under 5000
115,0.0,Research & Development,4,Life Sciences,Male,1,Research Scientist,Divorced,2720,No,18,3,10,Active,Master,Under 5000
117,0.0,Research & Development,3,Medical,Female,2,Laboratory Technician,Married,5363,No,12,3,10,Active,Bachelor,5000-9999
119,0.0,Sales,4,Medical,Male,3,Sales Executive,Divorced,8834,No,13,3,9,Active,Master,5000-9999
121,1.0,Sales,1,Marketing,Female,5,Manager,Married,19845,No,15,3,33,Inactive,Below College,Above 15000
122,0.0,Sales,3,Technical Degree,Male,2,Sales Executive,Married,6929,No,11,3,10,Active,Bachelor,5000-9999
123,0.0,Sales,3,Life Sciences,Male,1,Sales Representative,Single,2642,No,11,3,1,Active,Bachelor,Under 5000
126,1.0,Sales,4,Other,Male,2,Sales Executive,Married,4707,No,12,3,6,Inactive,Master,Under 5000
127,0.0,Research & Development,2,Medical,Male,3,Healthcare Representative,Married,9884,Yes,13,3,10,Active,College,5000-9999
128,0.0,Research & Development,3,Life Sciences,Male,5,Research Director,Married,19740,No,14,3,25,Active,Bachelor,Above 15000
129,0.0,Research & Development,3,Life Sciences,Male,1,Research Scientist,Single,2500,No,14,3,4,Active,Bachelor,Under 5000
133,0.0,Sales,4,Life Sciences,Female,2,Sales Executive,Divorced,6694,Yes,14,3,8,Active,Master,5000-9999
134,1.0,Research & Development,4,Life Sciences,Female,1,Research Scientist,Single,2394,Yes,13,3,8,Inactive,Master,Under 5000
135,0.0,Research & Development,1,Life Sciences,Male,1,Research Scientist,Married,3201,No,17,3,6,Active,Below College,Under 5000
136,0.0,Research & Development,2,Life Sciences,Male,3,Manufacturing Director,Divorced,8793,No,21,4,9,Active,College,5000-9999
137,0.0,Sales,4,Marketing,Male,2,Sales Executive,Divorced,6334,No,19,3,9,Active,Master,5000-9999
138,0.0,Research & Development,3,Life Sciences,Male,1,Research Scientist,Married,2539,No,13,3,4,Active,Bachelor,Under 5000
139,0.0,Sales,4,Marketing,Male,1,Sales Representative,Divorced,2793,No,17,3,13,Active,Master,Under 5000
140,0.0,Research & Development,3,Medical,Female,2,Healthcare Representative,Single,6812,No,19,3,10,Active,Bachelor,5000-9999
141,0.0,Research & Development,3,Life Sciences,Male,5,Research Director,Single,18265,No,12,3,25,Active,Bachelor,Above 15000
142,0.0,Research & Development,3,Other,Female,2,Manufacturing Director,Married,5228,No,15,3,10,Active,Bachelor,5000-9999
143,0.0,Research & Development,3,Life Sciences,Female,2,Manufacturing Director,Married,6474,No,13,3,14,Active,Bachelor,5000-9999
146,0.0,Sales,4,Life Sciences,Female,2,Sales Executive,Single,8686,No,22,4,12,Active,Master,5000-9999
147,0.0,Sales,4,Life Sciences,Male,2,Sales Executive,Divorced,4403,No,11,3,8,Active,Master,Under 5000
149,0.0,Research & Development,3,Other,Female,2,Research Scientist,Single,3660,No,13,3,10,Active,Bachelor,Under 5000
150,0.0,Research & Development,3,Medical,Female,1,Research Scientist,Single,4739,No,12,3,18,Active,Bachelor,Under 5000
152,0.0,Research & Development,3,Medical,Male,1,Research Scientist,Married,3579,Yes,21,4,12,Active,Bachelor,Under 5000
153,0.0,Sales,3,Life Sciences,Male,4,Manager,Single,17444,No,11,3,10,Active,Bachelor,Above 15000
154,0.0,Research & Development,3,Life Sciences,Female,2,Manufacturing Director,Divorced,4765,No,21,4,4,Active,Bachelor,Under 5000
155,0.0,Research & Development,5,Medical,Female,3,Research Director,Married,13191,Yes,17,3,20,Active,Doctor,10000-14999
156,0.0,Research & Development,3,Medical,Female,1,Laboratory Technician,Married,3452,No,20,4,17,Active,Bachelor,Under 5000
160,0.0,Sales,3,Medical,Male,1,Sales Representative,Married,2400,No,13,3,3,Active,Bachelor,Under 5000
161,0.0,Research & Development,5,Medical,Female,2,Research Scientist,Married,4449,Yes,15,3,15,Active,Doctor,Under 5000
162,0.0,Sales,3,Marketing,Male,2,Sales Executive,Married,9602,Yes,11,3,17,Active,Bachelor,5000-9999
163,0.0,Research & Development,3,Medical,Female,2,Research Scientist,Divorced,5605,No,11,3,20,Active,Bachelor,5000-9999
165,1.0,Sales,1,Medical,Male,2,Sales Executive,Single,5160,No,16,3,12,Inactive,Below College,5000-9999
166,0.0,Sales,2,Medical,Female,2,Sales Executive,Single,6125,No,12,3,10,Active,College,5000-9999
167,0.0,Sales,3,Medical,Female,1,Sales Representative,Single,1200,No,12,3,0,Active,Bachelor,Under 5000
168,0.0,Sales,4,Life Sciences,Male,4,Manager,Single,16015,No,19,3,22,Active,Master,Above 15000
169,0.0,Sales,5,Marketing,Female,2,Sales Executive,Married,4768,No,12,3,11,Active,Doctor,Under 5000
170,0.0,Sales,4,Marketing,Male,2,Sales Executive,Married,6825,No,11,3,10,Active,Master,5000-9999
171,0.0,Research & Development,3,Medical,Female,4,Healthcare Representative,Single,13734,No,18,3,21,Active,Bachelor,10000-14999
172,1.0,Research & Development,3,Life Sciences,Male,1,Laboratory Technician,Single,3730,Yes,14,3,4,Inactive,Bachelor,Under 5000
174,0.0,Sales,3,Life Sciences,Male,3,Manager,Divorced,11557,No,21,4,10,Active,Bachelor,10000-14999
175,0.0,Research & Development,1,Life Sciences,Female,2,Manufacturing Director,Married,4148,No,12,3,4,Active,Below College,Under 5000
176,1.0,Research & Development,3,Medical,Female,1,Laboratory Technician,Single,2422,No,17,3,4,Inactive,Bachelor,Under 5000
177,0.0,Research & Development,3,Life Sciences,Female,1,Research Scientist,Married,2543,No,13,3,6,Active,Bachelor,Under 5000
178,0.0,Research & Development,2,Life Sciences,Male,1,Laboratory Technician,Divorced,2207,No,16,3,4,Active,College,Under 5000
179,0.0,Research & Development,3,Other,Male,2,Manufacturing Director,Married,9957,No,15,3,7,Active,Bachelor,5000-9999
180,0.0,Sales,3,Marketing,Female,1,Sales Representative,Married,2014,No,13,3,2,Active,Bachelor,Under 5000
181,0.0,Research & Development,4,Medical,Male,3,Manufacturing Director,Single,10512,No,12,3,25,Active,Master,10000-14999
182,0.0,Research & Development,2,Life Sciences,Male,3,Healthcare Representative,Married,10920,No,21,4,13,Active,College,10000-14999
184,0.0,Sales,2,Life Sciences,Male,2,Sales Executive,Single,4554,No,18,3,10,Active,College,Under 5000
185,1.0,Human Resources,3,Human Resources,Female,3,Human Resources,Divorced,9950,Yes,15,3,11,Inactive,Bachelor,5000-9999
186,0.0,Research & Development,3,Technical Degree,Male,2,Research Scientist,Single,4485,No,12,3,10,Active,Bachelor,Under 5000
187,0.0,Research & Development,3,Technical Degree,Female,1,Research Scientist,Divorced,3204,No,14,3,8,Active,Bachelor,Under 5000
189,0.0,Research & Development,1,Technical Degree,Male,3,Research Director,Divorced,12808,Yes,16,3,9,Active,Below College,10000-14999
190,0.0,Research & Development,3,Life Sciences,Female,3,Healthcare Representative,Married,9985,No,16,3,10,Active,Bachelor,5000-9999
191,0.0,Research & Development,2,Life Sciences,Male,3,Research Director,Divorced,11510,Yes,14,3,12,Active,College,10000-14999
194,0.0,Sales,3,Life Sciences,Male,1,Sales Representative,Married,2791,No,12,3,3,Active,Bachelor,Under 5000
195,0.0,Sales,5,Marketing,Male,2,Sales Executive,Divorced,5304,No,23,4,10,Active,Doctor,5000-9999
196,0.0,Sales,3,Medical,Female,4,Sales Executive,Married,13320,Yes,18,3,23,Active,Bachelor,10000-14999
197,0.0,Research & Development,1,Medical,Male,1,Laboratory Technician,Married,2500,No,14,3,5,Active,Below College,Under 5000
199,1.0,Research & Development,3,Life Sciences,Female,1,Laboratory Technician,Single,1416,No,13,3,1,Inactive,Bachelor,Under 5000
203,0.0,Research & Development,4,Life Sciences,Male,1,Research Scientist,Married,2356,Yes,19,3,8,Active,Master,Under 5000
204,1.0,Sales,3,Marketing,Male,3,Sales Executive,Divorced,10096,No,11,3,28,Inactive,Bachelor,10000-14999
205,0.0,Research & Development,3,Life Sciences,Male,2,Laboratory Technician,Single,2450,No,17,3,19,Active,Bachelor,Under 5000
206,0.0,Research & Development,3,Technical Degree,Female,1,Research Scientist,Married,3580,No,16,3,7,Active,Bachelor,Under 5000
207,0.0,Research & Development,4,Life Sciences,Female,2,Research Scientist,Divorced,4615,Yes,23,4,19,Active,Master,Under 5000
208,0.0,Research & Development,1,Medical,Female,1,Research Scientist,Married,3929,Yes,23,4,7,Active,Below College,Under 5000
210,0.0,Research & Development,3,Medical,Female,5,Research Director,Married,19701,Yes,21,4,32,Active,Bachelor,Above 15000
211,0.0,Sales,4,Marketing,Male,2,Sales Executive,Single,4568,No,20,4,10,Active,Master,Under 5000
213,0.0,Research & Development,3,Medical,Male,1,Research Scientist,Married,2194,No,13,3,5,Active,Bachelor,Under 5000
214,0.0,Research & Development,2,Life Sciences,Male,1,Research Scientist,Divorced,3298,Yes,12,3,7,Active,College,Under 5000
215,0.0,Research & Development,3,Life Sciences,Male,1,Laboratory Technician,Single,4230,No,15,3,6,Active,Bachelor,Under 5000
216,0.0,Research & Development,3,Life Sciences,Female,1,Research Scientist,Single,2994,Yes,12,3,1,Active,Bachelor,Under 5000
217,0.0,Sales,3,Medical,Male,2,Sales Executive,Single,8463,No,18,3,6,Active,Bachelor,5000-9999
218,1.0,Sales,4,Medical,Male,3,Sales Executive,Married,10400,No,11,3,14,Inactive,Master,10000-14999
219,0.0,Research & Development,3,Life Sciences,Female,2,Healthcare Representative,Married,5562,No,13,3,12,Active,Bachelor,5000-9999
221,0.0,Research & Development,2,Medical,Female,2,Healthcare Representative,Divorced,5731,No,13,3,9,Active,College,5000-9999
223,0.0,Research & Development,4,Life Sciences,Male,2,Manufacturing Director,Married,6553,No,14,3,14,Active,Master,5000-9999
224,0.0,Human Resources,3,Human Resources,Male,2,Human Resources,Married,6347,Yes,19,3,12,Active,Bachelor,5000-9999
225,0.0,Sales,2,Marketing,Male,2,Sales Representative,Married,2306,Yes,20,4,13,Active,College,Under 5000
226,0.0,Sales,1,Life Sciences,Male,2,Sales Executive,Married,4907,No,25,4,20,Active,Below College,Under 5000
227,0.0,Research & Development,3,Medical,Female,1,Research Scientist,Divorced,2083,No,20,4,1,Active,Bachelor,Under 5000
229,1.0,Sales,2,Marketing,Male,1,Sales Representative,Married,2413,Yes,18,3,1,Inactive,College,Under 5000
230,0.0,Research & Development,3,Medical,Male,4,Research Director,Single,16598,No,12,3,35,Active,Bachelor,Above 15000
233,0.0,Sales,3,Marketing,Male,1,Sales Representative,Divorced,2297,No,14,3,2,Active,Bachelor,Under 5000
234,1.0,Sales,3,Life Sciences,Male,4,Sales Executive,Single,13758,Yes,12,3,22,Inactive,Bachelor,10000-14999
235,0.0,Research & Development,4,Life Sciences,Female,1,Research Scientist,Single,2553,No,16,3,6,Active,Master,Under 5000
236,0.0,Human Resources,2,Medical,Male,1,Human Resources,Divorced,4936,No,13,3,6,Active,College,Under 5000
237,0.0,Sales,3,Marketing,Female,4,Manager,Married,16064,Yes,22,4,22,Active,Bachelor,Above 15000
239,0.0,Sales,4,Medical,Male,2,Sales Executive,Married,6502,No,14,3,7,Active,Master,5000-9999
240,0.0,Human Resources,4,Life Sciences,Female,2,Human Resources,Single,5985,No,11,3,10,Active,Master,5000-9999
241,0.0,Research & Development,1,Technical Degree,Female,1,Research Scientist,Divorced,2029,No,20,4,5,Active,Below College,Under 5000
244,0.0,Sales,4,Life Sciences,Male,2,Sales Executive,Single,5253,No,16,3,7,Active,Master,5000-9999
245,0.0,Sales,3,Marketing,Male,2,Sales Executive,Married,8396,No,14,3,8,Active,Bachelor,5000-9999
246,0.0,Sales,2,Life Sciences,Female,2,Sales Executive,Married,6500,No,17,3,6,Active,College,5000-9999
247,0.0,Research & Development,3,Medical,Male,2,Healthcare Representative,Single,5933,No,12,3,10,Active,Bachelor,5000-9999
248,0.0,Research & Development,1,Medical,Male,1,Research Scientist,Single,3424,No,13,3,6,Active,Below College,Under 5000
249,1.0,Research & Development,1,Medical,Male,1,Research Scientist,Single,2960,No,11,3,8,Inactive,Below College,Under 5000
250,0.0,Research & Development,3,Life Sciences,Female,5,Manager,Married,19566,No,11,3,33,Active,Bachelor,Above 15000
251,0.0,Sales,5,Marketing,Male,2,Sales Executive,Married,9204,No,12,3,7,Active,Doctor,5000-9999
253,0.0,Research & Development,4,Other,Male,1,Research Scientist,Single,4678,No,18,3,8,Active,Master,Under 5000
255,0.0,Research & Development,4,Medical,Female,1,Laboratory Technician,Single,4025,No,12,3,10,Active,Master,Under 5000
256,0.0,Human Resources,3,Human Resources,Female,4,Manager,Married,16799,No,14,3,21,Active,Bachelor,Above 15000
258,1.0,Sales,2,Marketing,Male,2,Sales Executive,Married,6380,Yes,12,3,8,Inactive,College,5000-9999
260,1.0,Sales,3,Marketing,Male,2,Sales Executive,Single,5744,Yes,11,3,6,Inactive,Bachelor,5000-9999
262,0.0,Research & Development,1,Life Sciences,Male,1,Laboratory Technician,Married,2774,No,12,3,6,Active,Below College,Under 5000
263,0.0,Research & Development,1,Life Sciences,Female,2,Healthcare Representative,Married,4014,Yes,25,4,10,Active,Below College,Under 5000
264,0.0,Sales,1,Marketing,Male,2,Sales Executive,Married,8120,No,12,3,12,Active,Below College,5000-9999
265,0.0,Research & Development,2,Medical,Male,4,Research Director,Divorced,17399,No,22,4,32,Active,College,Above 15000
266,0.0,Research & Development,3,Life Sciences,Male,4,Research Director,Married,17779,No,14,3,36,Active,Bachelor,Above 15000
267,0.0,Sales,1,Technical Degree,Male,1,Sales Representative,Married,2476,No,18,3,1,Active,Below College,Under 5000
268,1.0,Sales,3,Life Sciences,Female,2,Sales Executive,Married,4559,Yes,11,3,4,Inactive,Bachelor,Under 5000
269,1.0,Sales,2,Medical,Female,2,Sales Executive,Married,5238,Yes,18,3,12,Inactive,College,5000-9999
270,1.0,Research & Development,4,Life Sciences,Male,3,Manufacturing Director,Single,10650,No,15,3,18,Inactive,Master,10000-14999
271,0.0,Research & Development,3,Life Sciences,Male,1,Laboratory Technician,Single,3162,No,14,3,7,Active,Bachelor,Under 5000
272,0.0,Research & Development,2,Medical,Female,5,Research Director,Divorced,18740,Yes,12,3,29,Active,College,Above 15000
274,0.0,Research & Development,3,Life Sciences,Male,2,Research Scientist,Married,6220,No,17,3,10,Active,Bachelor,5000-9999
275,0.0,Research & Development,2,Life Sciences,Male,5,Manager,Divorced,19190,No,14,3,26,Active,College,Above 15000
277,0.0,Sales,4,Life Sciences,Female,4,Manager,Married,15427,No,16,3,31,Active,Master,Above 15000
279,0.0,Sales,5,Life Sciences,Female,4,Manager,Single,16835,No,23,4,37,Active,Doctor,Above 15000
280,0.0,Sales,3,Technical Degree,Female,2,Sales Executive,Single,5666,Yes,13,3,6,Active,Bachelor,5000-9999
281,1.0,Human Resources,4,Technical Degree,Female,1,Human Resources,Married,2742,No,15,3,2,Inactive,Master,Under 5000
282,0.0,Research & Development,5,Medical,Female,3,Manufacturing Director,Single,8858,No,11,3,15,Active,Doctor,5000-9999
283,0.0,Research & Development,2,Life Sciences,Male,3,Healthcare Representative,Divorced,9439,Yes,16,3,12,Active,College,5000-9999
285,0.0,Research & Development,4,Life Sciences,Male,2,Laboratory Technician,Single,5810,No,16,3,10,Active,Master,5000-9999
286,1.0,Research & Development,4,Life Sciences,Male,1,Laboratory Technician,Single,3485,No,11,3,5,Inactive,Master,Under 5000
287,0.0,Research & Development,2,Other,Male,2,Laboratory Technician,Single,3681,No,14,3,9,Active,College,Under 5000
288,0.0,Sales,1,Medical,Female,2,Sales Executive,Divorced,4647,Yes,20,4,6,Active,Below College,Under 5000
290,1.0,Human Resources,4,Human Resources,Male,1,Human Resources,Divorced,2073,Yes,22,4,7,Inactive,Master,Under 5000
292,1.0,Sales,2,Marketing,Male,1,Sales Representative,Married,2683,Yes,14,3,3,Inactive,College,Under 5000
293,0.0,Research & Development,2,Medical,Male,4,Manager,Married,16792,No,23,4,22,Active,College,Above 15000
294,0.0,Sales,1,Marketing,Male,2,Sales Executive,Married,4342,No,19,3,5,Active,Below College,Under 5000
295,0.0,Sales,5,Life Sciences,Female,4,Manager,Married,16595,No,16,3,22,Active,Doctor,Above 15000
296,0.0,Research & Development,3,Medical,Female,1,Laboratory Technician,Single,2564,No,14,3,12,Active,Bachelor,Under 5000
297,0.0,Sales,1,Life Sciences,Female,1,Sales Representative,Divorced,2827,No,12,3,1,Active,Below College,Under 5000
298,0.0,Research & Development,4,Medical,Male,5,Research Director,Single,18722,No,11,3,36,Active,Master,Above 15000
299,1.0,Research & Development,2,Life Sciences,Male,2,Laboratory Technician,Married,4883,No,18,3,10,Inactive,College,Under 5000
300,0.0,Research & Development,4,Life Sciences,Female,3,Manufacturing Director,Divorced,10502,No,17,3,33,Active,Master,10000-14999
301,1.0,Research & Development,4,Life Sciences,Male,1,Research Scientist,Single,2936,Yes,11,3,6,Inactive,Master,Under 5000
302,0.0,Research & Development,4,Life Sciences,Female,2,Research Scientist,Married,6322,Yes,12,3,6,Active,Master,5000-9999
304,0.0,Sales,1,Life Sciences,Female,1,Sales Representative,Single,2342,No,19,3,3,Active,Below College,Under 5000
306,0.0,Research & Development,3,Medical,Male,1,Research Scientist,Divorced,2024,No,18,3,6,Active,Bachelor,Under 5000
307,0.0,Research & Development,4,Other,Male,1,Research Scientist,Single,2799,Yes,11,3,6,Active,Master,Under 5000
308,1.0,Research & Development,4,Life Sciences,Male,3,Manager,Married,11849,Yes,12,3,10,Inactive,Master,10000-14999
309,1.0,Research & Development,3,Medical,Female,1,Research Scientist,Single,1859,Yes,25,4,1,Inactive,Bachelor,Under 5000
310,0.0,Research & Development,2,Life Sciences,Male,2,Healthcare Representative,Divorced,5163,No,14,3,17,Active,College,5000-9999
311,0.0,Research & Development,3,Life Sciences,Male,4,Manufacturing Director,Married,13402,Yes,12,3,33,Active,Bachelor,10000-14999
315,0.0,Research & Development,2,Life Sciences,Female,2,Laboratory Technician,Single,4193,Yes,12,3,10,Active,College,Under 5000
316,0.0,Research & Development,2,Life Sciences,Female,3,Research Director,Married,12061,No,17,3,19,Active,College,10000-14999
